Name,Location,Address,PRICE RANGE,CUISINES,SPECIAL DIETS,Meals,FEATURES,Link,Budget
Naniyori by Steam Boat,"No 14, Narahenpita Road, Colombo Sri Lanka","Narahenpita Road, Colombo","[' 1000 ', '  40 000']","Japanese, Sushi, Asian, Fusion",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d4975637-Reviews-Naniyori_by_Steam_Boat-Colombo_Western_Province.html,Medium
Chillax Garden Pub,"No.11 Marine Drive Wellawatta, Colombo 00600 Sri Lanka","Marine Drive Wellawatta, Colombo 00600 ","[' 989 ', '  29,674']","Seafood, European, Grill, Arabic","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Takeout, Reservations, Seating, Parking Available, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12004713-Reviews-Chillax_Garden_Pub-Colombo_Western_Province.html,Medium
Maharaja Palace,"1A Rajakeeya Mawatha, Colombo 00700 Sri Lanka","Rajakeeya Mawatha, Colombo 00700 ","[' 500 ', '  40 000']",Indian,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner","Reservations, Private Dining, Seating, Parking Available, Validated Parking, Table Service, Takeout, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d3659614-Reviews-Maharaja_Palace-Colombo_Western_Province.html,Medium
Sushi Bar,"115, Sir Chittampalam A.Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 2 Sri Lanka","Cinnamon Lakeside Colombo, Colombo","[' 1000 ', '  40 000']","Japanese, Sushi, Asian",Vegetarian Friendly,"Dinner, Lunch","Delivery, Takeout, Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d4409878-Reviews-Sushi_Bar-Colombo_Western_Province.html,Medium
Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka","Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200","[' 500 ', '  1,400']","American, Gastropub, Sri Lankan",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7931108-Reviews-Playtrix_Sports_Bar_and_Cafe-Colombo_Western_Province.html,Low
Quick Thai,"29A, Maitland Place Colombo 7, Colombo Sri Lanka","Maitland Place Colombo 7, Colombo ","[' 500 ', '  40 000']","Asian, Thai","Vegetarian Friendly, Vegan Options","Dinner, Lunch","Takeout, Reservations, Outdoor Seating, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7855483-Reviews-Quick_Thai-Colombo_Western_Province.html,Medium
The Embazzy,"No. 76/1, Flower Road, Colombo Sri Lanka","Flower Road, Colombo 00700 ","[' 1,000 ', '  3,000']",Cafe,Vegetarian Friendly,"Lunch, Dinner","Delivery, Takeout, Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d14090394-Reviews-The_Embazzy-Colombo_Western_Province.html,Low
Harbour Room,"2 York St Fort, Colombo Sri Lanka","York St Fort, Colombo ","[' 500 ', '  40 000']","Sri Lankan, Seafood, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Breakfast, Lunch","Reservations, Seating, Validated Parking, Serves Alcohol, Full Bar, Highchairs Available, Table Service, Live Music",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133411-Reviews-Harbour_Room-Colombo_Western_Province.html,Medium
Hotel Sapphire,"No. 371 Galle Road, Colombo 00600 Sri Lanka","Galle Road, Colombo 00600","[' 1000 ', '  40 000']","Chinese, Indian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7292166-Reviews-Hotel_Sapphire-Colombo_Western_Province.html,Medium
Acropol Restaurant,"03 Schofield Place, Colombo 00300 Sri Lanka","Schofield Place, Colombo 00300","[' 500 ', '  40 000']","Mediterranean, Middle Eastern, Lebanese","Halal, Vegetarian Friendly","Dinner, Lunch","Takeout, Reservations, Seating, Parking Available, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7687978-Reviews-Acropol_Restaurant-Colombo_Western_Province.html,Medium
Alhambra,"30 Sir Mohamed Macan Markar Mawatha Ramada Colombo, Colombo 00300 Sri Lanka","Sir Mohamed Macan Markar Mawatha Ramada Colombo, Colombo 00300","[' 593 ', '  4,946']","Indian, Japanese, International","Vegetarian Friendly, Halal","Breakfast, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7623256-Reviews-Alhambra-Colombo_Western_Province.html,Low
Kyoto Mirai,"03 No 213, Galle road, Colombo, Colombo 00300 Sri Lanka","Galle road, Colombo, Colombo 00300","[' 800 ', '  8,500']","Japanese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Breakfast, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d13981960-Reviews-Kyoto_Mirai-Colombo_Western_Province.html,Medium
The Sandwich Factory,"10 Palm Grove Colombo 3, Colombo 00300 Sri Lanka","Palm Grove Colombo 3, Colombo 00300","[' 989 ', '  1,978']","American, Fast Food, Diner, Fusion, Healthy","Vegetarian Friendly, Halal","Breakfast, Lunch, Dinner","Outdoor Seating, Seating, Serves Alcohol, Full Bar, Reservations, Parking Available, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1089538-Reviews-The_Sandwich_Factory-Colombo_Western_Province.html,Low
Crossroads  Café and Restaurant,"292 Nawala Road Nawala, Colombo Sri Lanka","Nawala Road Nawala, Colombo ","[' 500 ', '  40 000']","Sri Lankan, International",Vegetarian Friendly,"Lunch, Dinner","Delivery, Takeout, Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d1746046-Reviews-Crossroads_Cafe_and_Restaurant-Colombo_Western_Province.html,Medium
Table By Taru,"Lake Lodge,, Colombo 00300 Sri Lanka","Lake Lodge,, Colombo 00300 ","[' 500 ', '  7,000']",International,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Drinks","Takeout, Reservations, Seating, Parking Available, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d23033262-Reviews-Table_By_Taru-Colombo_Western_Province.html,Medium
Cajun on Wheels Sri Lanka,"Bullers lane Colombo 00700, Colombo 10250 Sri Lanka","Bullers lane Colombo 00700, Colombo 10250","[' 500 ', '  40 000']","Seafood, Cajun & Creole, Asian, Fusion, Singaporean, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch, Brunch","Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d13474389-Reviews-Cajun_on_Wheels_Sri_Lanka-Colombo_Western_Province.html,Medium
WIP (Work In Progress),"Old Dutch Hospital Shopping Precinct Echelon Square, Colombo Sri Lanka","Old Dutch Hospital Shopping Precinct Echelon Square, Colombo","[' 500 ', '  40 000']",Contemporary,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch, Late Night","Reservations, Seating, Outdoor Seating, Serves Alcohol, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d3200227-Reviews-WIP_Work_In_Progress-Colombo_Western_Province.html,Medium
Zen Sushi,"115 Rosmead Place, Colombo 00700 Sri Lanka","Rosmead Place, Colombo 00700","[' 1000 ', '  40 000']","Japanese, Sushi, Asian",Vegetarian Friendly,"Dinner, Lunch","Takeout, Reservations, Seating, Parking Available, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11835863-Reviews-Zen_Sushi-Colombo_Western_Province.html,Medium
Colombo Swimming Club,"148 Galle Road 148, Storm Lodge, Colombo 00300 Sri Lanka","Storm Lodge, Colombo 00300 ","[' 500 ', '  40 000']","Bar, Sri Lankan, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Outdoor Seating, Seating, Reservations",https://www.tripadvisor.com/Restaurant_Review-g293962-d11837476-Reviews-Colombo_Swimming_Club-Colombo_Western_Province.html,Medium
Kava Island Bar,"# 41 Maitland Crescent, Colombo 00700 Sri Lanka","Maitland Crescent, Colombo 00700","[' 1000 ', '  40 000']","Bar, Caribbean, Asian, Pub, Polynesian, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options",Dinner,"Accepts Credit Cards, Table Service, Reservations, Seating",https://www.tripadvisor.com/Restaurant_Review-g293962-d17711817-Reviews-Kava_Island_Bar-Colombo_Western_Province.html,Medium
Life's Good Kitchen,"No 61 Kassapa Road Jawatta road, Colombo 00500 Sri Lanka","Kassapa Road Jawatta road, Colombo 00500 ","[' 500 ', '  1,400']",Healthy,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Breakfast, Dinner, Brunch","Seating, Outdoor Seating, Parking Available, Accepts Credit Cards, Table Service, Dog Friendly",https://www.tripadvisor.com/Restaurant_Review-g293962-d19944683-Reviews-Life_s_Good_Kitchen-Colombo_Western_Province.html,Low
VOC Cafe,"114 Reid Avenue The Dutch Burgher Union, Colombo 00400 Sri Lanka","Reid Avenue The Dutch Burgher Union, Colombo 00400","[' 1000 ', '  20 000']","Cafe, Asian, Sri Lankan",Vegetarian Friendly,"Lunch, Dinner","Takeout, Seating, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d6353162-Reviews-VOC_Cafe-Colombo_Western_Province.html,Medium
Quick Thai,"424 A Pannipitiya Road, Colombo 10120 Sri Lanka","A Pannipitiya Road, Colombo 10120","[' 500 ', '  40 000']","Asian, Thai",Vegetarian Friendly,"Dinner, Lunch","Takeout, Reservations, Seating, Parking Available, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7725966-Reviews-Quick_Thai-Colombo_Western_Province.html,Medium
168 Sea Food Palace,"8 Sea View Avenue, Colombo Sri Lanka","Sea View Avenue, Colombo ","[' 1000 ', '  40 000']","Chinese, Seafood, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch","Reservations, Seating, Table Service, Takeout, Parking Available",https://www.tripadvisor.com/Restaurant_Review-g293962-d802752-Reviews-168_Sea_Food_Palace-Colombo_Western_Province.html,Medium
The Gardenia Coffee Shop,"30 Sir Mohamed Macan Markar Mawatha Ramada Colombo, Colombo 00300 Sri Lanka"," Sir Mohamed Macan Markar Mawatha Ramada Colombo, Colombo 00300 ","[' 396 ', '  5,935']","Fusion, Japanese, Indian, International, Sri Lankan",Vegetarian Friendly,"Breakfast, Lunch, Dinner","Delivery, Takeout, Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d7353849-Reviews-The_Gardenia_Coffee_Shop-Colombo_Western_Province.html,Medium
La Veranda,"55 Ananda Coomaraswamy Mawatha, Colombo 00700 Sri Lanka","Ananda Coomaraswamy Mawatha, Colombo 00700 ","[' 200 ', '  1,000']","Arabic, Italian, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Delivery, Takeout, Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d12991225-Reviews-La_Veranda-Colombo_Western_Province.html,Low
Majestic City,"Galle Rd Bambalapitiya, Colombo Sri Lanka","Galle Rd Bambalapitiya, Colombo","[' 500 ', '  1,400']",Fast Food,Vegetarian Friendly,"Lunch, Dinner","Takeout, Reservations, Seating, Parking Available, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133428-Reviews-Majestic_City-Colombo_Western_Province.html,Low
The Lion Pub,"220 Galle Street, Colombo 10370 Sri Lanka","Galle Street, Colombo 10370 ","[' 1000 ', '  40 000']","Chinese, Indian, Barbecue, Thai, Sri Lankan, Bar, Asian, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options",Dinner,"Table Service, Seating",https://www.tripadvisor.com/Restaurant_Review-g293962-d13106354-Reviews-The_Lion_Pub-Colombo_Western_Province.html,Medium
The Lounge,"115, Sir Chittampalam A.Gardiner Mawatha Cinnamon Lakeside Colombo, Colombo 2 Sri Lanka","Cinnamon Lakeside Colombo, Colombo","[' 1000 ', '  40 000']",International,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner","Seating, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d4409876-Reviews-The_Lounge-Colombo_Western_Province.html,Medium
Kuuraku Japanese Restaurant,"48B Park Street Mews, Colombo 00200 Sri Lanka","Park Street Mews, Colombo 00200","[' 1,000 ', '  5,000']","Japanese, Sushi, Asian, Grill",Vegetarian Friendly,"Breakfast, Lunch, Dinner","Takeout, Reservations, Seating, Parking Available, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10789281-Reviews-Kuuraku_Japanese_Restaurant-Colombo_Western_Province.html,Low
Mathura,"16 Melbourne Avenue Colombo 04, Colombo Sri Lanka","Melbourne Avenue Colombo 04, Colombo","[' 396 ', '  5,935']","Indian, Asian","Vegetarian Friendly, Vegan Options","Dinner, Lunch","Takeout, Reservations, Seating, Parking Available, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11947489-Reviews-Mathura-Colombo_Western_Province.html,Medium
BASICO Bar Lounge,"200 Union Place, Colombo 00200 Sri Lanka","Union Place, Colombo 00200 ","[' 1000 ', '  40 000']","International, Chinese, Indian, Bar, Asian, Pub, Sri Lankan","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12245636-Reviews-BASICO_Bar_Lounge-Colombo_Western_Province.html,Medium
M'eat US,"16, Flower Road Colombo 07, Colombo Sri Lanka","Flower Road Colombo 07, Colombo","[' 500 ', '  40 000']",Barbecue,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Lunch","Seating, Table Service, Reservations",https://www.tripadvisor.com/Restaurant_Review-g293962-d16101901-Reviews-M_eat_US-Colombo_Western_Province.html,Medium
3Brothers Italian Bistro,"180 Park Road, Colombo 00500 Sri Lanka","Park Road, Colombo 00500","[' 1,978 ', '  4,946']","Italian, Pizza, Deli","Vegetarian Friendly, Vegan Options, Gluten Free Options","Dinner, Drinks","Delivery, Takeout, Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d20287679-Reviews-3Brothers_Italian_Bistro-Colombo_Western_Province.html,Low
Lattice Lounge,"25 Galle Face Center Road, Colombo Sri Lanka","Galle Face Center Road, Colombo 00300","[' 500 ', '  40 000']","Chinese, Indian, Barbecue, Thai, Sri Lankan, Bar, Asian, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options",Dinner,"Table Service, Reservations, Wheelchair Accessible",https://www.tripadvisor.com/Restaurant_Review-g293962-d12849769-Reviews-Lattice_Lounge-Colombo_Western_Province.html,Medium
Playtrix Sports Bar and Cafe,"137 Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200 Sri Lanka","Sir James Pieris Mawatha Colombo City Centre Mall, Colombo 00200","[' 500 ', '  1,400']","American, Gastropub, Sri Lankan",Vegetarian Friendly,"Breakfast, Lunch, Dinner","Outdoor Seating, Seating, Serves Alcohol, Full Bar, Reservations, Parking Available, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7931108-Reviews-Playtrix_Sports_Bar_and_Cafe-Colombo_Western_Province.html,Low
Fat Panda,"Sea Avenue 31 a 31 A, Colombo Sri Lanka","Sea Avenue 31 a 31 A, Colombo","[' 800 ', '  1,500']","Asian, Thai, Chinese","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Delivery, Takeout, Seating, Parking Available, Street Parking, Free off-street parking, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Discover, Accepts Credit Cards",https://www.tripadvisor.com/Restaurant_Review-g293962-d12450453-Reviews-Fat_Panda-Colombo_Western_Province.html,Low
Shisha Luv,"16 Flower Road, Colombo Sri Lanka","Flower Road, Colombo 00700 ","['1,500 ', ' 2,500']","Sri Lankan, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15242776-Reviews-Shisha_Luv-Colombo_Western_Province.html,Low
Greenlands Hotel,"3A Shrubbery Gardens Bambalapitiya, Colombo Sri Lanka","Shrubbery Gardens Bambalapitiya, Colombo ","['1,500 ', ' 2,500']",Indian,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1133408-Reviews-Greenlands_Hotel-Colombo_Western_Province.html,Low
Santai Colombo,"8 Stratford Avenue, Colombo 00600 Sri Lanka","Stratford Avenue, Colombo 00600","['6 ', ' 12']","Asian, Malaysian","Vegetarian Friendly, Vegan Options","Dinner, Lunch, Brunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15561700-Reviews-Santai_Colombo-Colombo_Western_Province.html,Low
Peri Peri Kukula,"Jawatta Road, Colombo 00500 Sri Lanka","Jawatta Road, Colombo 00500","['900 ', ' 1,500']","Grill, Contemporary, Portuguese","Vegetarian Friendly, Vegan Options","Dinner, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d14089452-Reviews-Peri_Peri_Kukula-Colombo_Western_Province.html,Low
Urban Green,"Unity Place #10, Colombo 00300 Sri Lanka","Unity Pl Rd, Colombo 00300","['593 ', ' 1,583']","Healthy, Sri Lankan, Italian, Fast Food","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d12378587-Reviews-Urban_Green-Colombo_Western_Province.html,Low
Crystal Jade,"Level 6, One Galle Face Mall, Colombo Sri Lanka","One Galle Face Mall, Colombo 00200 ","['1,500 ', ' 2,500']","Chinese, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Takeout, Reservations, Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19403015-Reviews-Crystal_Jade-Colombo_Western_Province.html,Low
Smokestacks,"190 Cotta Road Borella, Colombo 00800 Sri Lanka","Cotta Road Borella, Colombo 00800","['5 ', ' 15']","American, Steakhouse, Barbecue, Grill","Vegetarian Friendly, Vegan Options","Dinner, Late Night, Drinks","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15687841-Reviews-Smokestacks-Colombo_Western_Province.html,Low
Grand Beijing Chinese Restaurant,"62/A Dharmapala Mawatha, Colombo 00300 Sri Lanka","Dharmapala Mawatha, Colombo 00300","['1,500 ', ' 2,500']","Chinese, Asian",Vegetarian Friendly,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7742884-Reviews-Grand_Beijing_Chinese_Restaurant-Colombo_Western_Province.html,Low
MY Dining,"16 Park Road, Colombo 00500 Sri Lanka","Park Road, Colombo 00500","['600 ', ' 2,500']","British, Arabic, Italian, Chinese, Indian","Vegetarian Friendly, Vegan Options","Dinner, Breakfast, Lunch, Brunch, Drinks","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d17392875-Reviews-MY_Dining-Colombo_Western_Province.html,Low
The Coffee Bean & Tea Leaf,"385 Galle Rd The Landmark Buildin, Colombo Sri Lanka","Galle Rd The Landmark Buildin, Colombo","['1,500 ', ' 2,500']",Cafe,"Vegetarian Friendly, Vegan Options",Breakfast,"Takeout, Seating",https://www.tripadvisor.com/Restaurant_Review-g293962-d10341788-Reviews-The_Coffee_Bean_Tea_Leaf-Colombo_Western_Province.html,Low
Barista,"Laksala Building, # 7, Reid Mawatha, Cinnoman Gardens Laksala Premises, Colombo 00700 Sri Lanka","Reid Mawatha, Cinnoman Gardens Laksala Premises, Colombo 00700","['396 ', ' 1,385']","Cafe, American",Vegetarian Friendly,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d11749266-Reviews-Barista-Colombo_Western_Province.html,Low
Urban Kitchen,"Arpico Super Store 69 Hyde Park, Colombo Sri Lanka","Hyde Park, Colombo","['791 ', ' 1,583']","Sri Lankan, Asian, Fusion","Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1825856-Reviews-Urban_Kitchen-Colombo_Western_Province.html,Low
Tea Avenue,"01 Center Road L1-70, One Galle Face Mall, Colombo 00200 Sri Lanka","One Galle Face Mall, Colombo 00200 ","['400 ', ' 1,200']","Italian, American, British, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Breakfast, Dinner, Brunch, Late Night","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19844800-Reviews-Tea_Avenue-Colombo_Western_Province.html,Low
Jasmine Song,"63 Dickmans Road Colombo 5, Colombo 00500 Sri Lanka","Dickmans Road Colombo 5, Colombo 00500","['1,500 ', ' 2,500']","Chinese, Asian",Vegetarian Friendly,"Dinner, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7260519-Reviews-Jasmine_Song-Colombo_Western_Province.html,Low
Hotel De Buhari,"15, Panchikawatta Road Maradana, Colombo Sri Lanka","Panchikawatta Road Maradana, Colombo","['1,500 ', ' 2,500']","Asian, Sri Lankan",Halal,"Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d8090067-Reviews-Hotel_De_Buhari-Colombo_Western_Province.html,Low
Arcadia Cafe and restaurant,"9/7 16th Lane, Colombo 00300 Sri Lanka","16th Lane, Colombo 00300","['100 ', ' 3,000']","Sri Lankan, Italian, Chinese, American, Indian, Asian","Vegetarian Friendly, Vegan Options","Dinner, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d15218253-Reviews-Arcadia_Cafe_and_restaurant-Colombo_Western_Province.html,Low
Sri Vani Vilas Hotel,"12 Shri Vani Vilas Hotel Pvt Ltd. 256, Messenger Street, Colombo - 12, Sri Lanka, Colombo 01200 Sri Lanka"," Shri Vani Vilas Hotel Pvt Ltd. 256, Messenger Street, Colombo - 12","['1,500 ', ' 2,500']","Indian, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch, Breakfast","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d3454320-Reviews-Sri_Vani_Vilas_Hotel-Colombo_Western_Province.html,Low
Roccoís,"29A Gregory's Road, Colombo 00700 Sri Lanka","Gregory's Road, Colombo 00700","['1,100 ', ' 3,000']","Italian, International, Pizza","Vegetarian Friendly, Vegan Options","Dinner, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d18715745-Reviews-Rocco_s-Colombo_Western_Province.html,Low
Hotel de Pilawoos,"Chatham Street 100, Colombo Sri Lanka","Chatham Street 100, Colombo ","['1,500 ', ' 2,500']","Diner, Sri Lankan, Asian",Vegetarian Friendly,"Dinner, Breakfast, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7345843-Reviews-Hotel_de_Pilawoos-Colombo_Western_Province.html,Low
Flamingo Restaurant at Ceylon City Hotel,"11 Upatissa Road, Colombo, Colombo 00400 Sri Lanka","Upatissa Road, Colombo, Colombo 00400 ","['989 ', ' 2,967']","Italian, Chinese, Indian, Asian, Thai, Sri Lankan","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10760138-Reviews-Flamingo_Restaurant_at_Ceylon_City_Hotel-Colombo_Western_Province.html,Low
Bbq Station,"65/4 Kirula Rd, Colombo 00500 Sri Lanka","Kirula Rd, Colombo 00500","['1,500 ', ' 2,500']",Barbecue,"Vegetarian Friendly, Vegan Options","Lunch, Dinner",Reservations,https://www.tripadvisor.com/Restaurant_Review-g293962-d20033754-Reviews-Bbq_Station-Colombo_Western_Province.html,Low
Scarlet Room,"32 Alfred House Avenue Colombo Courtyard, Colombo 00300 Sri Lanka","Alfred House Avenue Colombo Courtyard, Colombo 00300","['1,385 ', ' 3,956']","Italian, European","Vegetarian Friendly, Vegan Options","Dinner, Breakfast, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d3635030-Reviews-Scarlet_Room-Colombo_Western_Province.html,Low
Saraswathie Lodge,"191 Galle Rd., Colombo Sri Lanka","Galle Rd., Colombo","['1,500 ', ' 2,500']","Indian, Sri Lankan, Asian","Vegetarian Friendly, Vegan Options","Lunch, Breakfast, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d2007823-Reviews-Saraswathie_Lodge-Colombo_Western_Province.html,Low
Barista,"33 Staple St, Colombo 00200 Sri Lanka","Staple St, Colombo 00200","['500 ', ' 1,500']","Italian, American, Cafe, Fusion, Middle Eastern, Afghani","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19271668-Reviews-Barista-Colombo_Western_Province.html,Low
Amirthaa,"256 A, Galle Road, Colombo Sri Lanka","Galle Road, Colombo","['1,500 ', ' 2,500']","Indian, Sri Lankan","Vegetarian Friendly, Vegan Options","Lunch, Breakfast, Dinner","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d10027734-Reviews-Amirthaa-Colombo_Western_Province.html,Low
David's Dangerously Delicious Char Siu,"27/5 Rosmead Place, Colombo 00700 Sri Lanka","Rosmead Place, Colombo 00700","['600 ', ' 5,000']",Chinese,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Dinner, Brunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d19925772-Reviews-David_s_Dangerously_Delicious_Char_Siu-Colombo_Western_Province.html,Low
Great Wall Restaurants,"491 Galle Road Colombo, Colombo 00300 Sri Lanka","Galle Road Colombo, Colombo 00300","['1,978 ', ' 5,935']","Chinese, Asian, Fast Food, Healthy","Vegetarian Friendly, Vegan Options","Dinner, Lunch","Seating, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d7243619-Reviews-Great_Wall_Restaurants-Colombo_Western_Province.html,Medium
The Margarita Blue,"The Galadari Hotel, 64, Lotus Road, Colombo Sri Lanka","The Galadari Hotel, Lotus Road, Colombo","['1,500 ', ' 2,500']","Bar, Mexican, Pub","Vegetarian Friendly, Vegan Options","Late Night, Drinks","Seating, Reservations, Serves Alcohol, Table Service",https://www.tripadvisor.com/Restaurant_Review-g293962-d1113768-Reviews-The_Margarita_Blue-Colombo_Western_Province.html,Low
